TEST_NAME_ABBREVIATION	source_unit_clean	n_records	n_subjects	p_missing_values	value_percentiles	p_NA_AA_A_LL_L_N_H_HH
vb-vekaas5,cl-	mmol/l	70	43	NA	NA	NA
pu-sienvi	NA	17432	9740	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 78][  0,  7,  0,  0, 14,  0,  0]
p-hae	NA	383	314	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-cya	ug/l	22833	1206	0	[ 26, 62, 73, 83, 92, 102, 114, 135, 171, 232, 2175,  ]	[ 99][  0,  0,  0,  0,  1,  0,  0]
ab-po2(t)	kpa	3024	1188	0	[ 2.3, 7.1, 8.1, 8.9, 9.5, 10.1, 10.8, 11.5, 12.6, 14.47, 69.2,  ]	[ 30][  0, 70,  0,  0,  0,  0,  0]
ab-ph(t)	NA	3113	1224	3	[ 6.82, 7.331, 7.38, 7.4, 7.42, 7.44, 7.45, 7.46, 7.48, 7.5, 7.7,  ]	[ 59][  0, 41,  0,  0,  0,  0,  0]
p-ebvnh	NA	19382	6356	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 71][  0,  2,  0,  0, 27,  0,  0]
s-haptog	NA	2497	1583	94	[ 0.22, 0.61, 0.76, 0.945, 1.22, 1.395, 1.63, 1.83, 2.09, 2.725, 4.81,  ]	[ 40][  0, 58,  0,  1,  0,  1,  0]
fs-trfesat	NA	10563	4727	10	[ 0, 0.09, 0.13, 0.16, 0.19, 0.22, 0.25, 0.29, 0.33, 0.41, 2.55,  ]	[ 65][  0, 32,  0,  0,  2,  0,  0]
l-prom-m	%	1150	429	0	[ 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 1, 13.5,  ]	NA
l-baso-m	%	6175	1871	0	[ 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 12.5,  ]	[ 80][  0, 19,  0,  0,  0,  0,  0]
l-monos-m	%	5949	1805	0	[ 0, 1.5, 3, 4, 5, 6, 7, 8, 10, 15, 73,  ]	[ 59][  0, 41,  0,  0,  0,  0,  0]
pt-lis	NA	258	230	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
fb-b1-vit	NA	326	291	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
-inrscov,-cv19nho	NA	10	9	NA	NA	NA
-inrscov,-infbnho	NA	10	9	NA	NA	NA
s-vzvabg	eiu	3305	3071	0	[ 1, 24, 38, 48, 57, 64, 72, 78, 84, 94, 2700,  ]	[ 92][  0,  0,  0,  0,  8,  0,  0]
b-tb1	NA	3410	3088	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 38][  0,  0,  0,  0, 62,  0,  0]
sul-trim	NA	595	289	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
transferriinireseptori,liukoinen	mg/l	176	132	0	[ 0.5, 2.1, 2.4, 2.55, 2.7, 2.9, 3.1, 3.25, 3.7, 4.3, 8.5,  ]	NA
u-happamuusaste	NA	4788	2873	43	[ 5, 5.5, 6, 6.5, 6.5, 7, 7, 7, 7.5, 7.5, 9,  ]	[ 33][  0, 25,  0,  0, 43,  0,  0]
b-bakteeri,viljely	NA	933	603	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 51][  0,  4,  0,  0, 45,  0,  0]
p-urea	NA	6404	2331	100	[ 8.5, 8.59, 8.68, 8.77, 9.22, 9.85, 10.48, 11.4, 12.9, 14.4, 15.9,  ]	[ 30][  0, 49,  0,  3,  4, 14,  0]
pharag-o	NA	37	35	NA	NA	NA
ly-hlab27	NA	16419	15409	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 78][  0,  3,  0,  0, 19,  0,  0]
s-ttgaba	NA	94280	74892	100	[ 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.68, 0.81, 0.980000000000001, 4.08, 96,  ]	[ 80][  0,  1,  0,  0, 19,  0,  0]
s-dgpabg	NA	11851	11038	100	[ 0.6, 1.12, 2, 3.6, 6, 7, 9, 14.2, 18.6, 24.6, 594,  ]	[ 91][  0,  1,  0,  0,  8,  0,  0]
ts-pad-ev	NA	8715	6951	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 94][  1,  0,  0,  0,  5,  0,  0]
ts-pad-y	NA	12691	8603	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
l-monosyytit	%	10007	6853	0	[ 0, 5, 6.6, 7, 8, 9, 9, 10, 11, 13, 60,  ]	[ 21][  0, 20,  0,  0, 59,  0,  0]
s-ca++/7.40	NA	652	609	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 88][  0, 12,  0,  0,  0,  0,  0]
s-d-25	NA	14220	10184	100	[ 34, 53.36, 63, 68.91, 78.6, 82.75, 86.4, 94.79, 103.2, 120, 172,  ]	[ 45][  0,  7,  0,  6, 41,  1,  0]
vb-vekaast	NA	10993	4572	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][  0,  0,  0,  0,  0,  0,  0]
s-ihotab	titre	273	167	0	[ 10, 10, 40, 50, 50, 80, 200, 200, 320, 1280, 5000,  ]	NA
fb-b1-vit	nmol/l	2667	2071	0	[ 21, 94, 108, 115, 125, 134, 141, 150, 165, 188, 565.4,  ]	[ 80][  0,  4,  0,  0, 15,  1,  0]
-pakfin1	NA	915	819	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
p-psa	NA	127087	36906	100	[ 0.01, 0.429, 0.62, 0.87, 1.2, 1.5, 2, 2.509, 3.82, 5.9, 1600,  ]	[ 79][  0,  5,  0,  0, 14,  2,  0]
-hepynho	NA	2732	2519	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 50][  0,  4,  0,  0, 46,  0,  0]
basof	%	18647	13281	0	[ 0, 0.2, 0.2, 0.3, 0.4, 0.5, 0.5, 0.6, 0.8, 1, 3.9,  ]	[ 92][  0,  0,  0,  0,  0,  8,  0]
ps-str-vi	NA	2769	1824	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 97][  0,  3,  0,  0,  0,  0,  0]
b-crp-pika	NA	2410	1245	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 71][  0,  0,  0,  0, 27,  2,  0]
s-ttgabg	NA	18973	17455	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 52][  0,  0,  0,  0, 47,  0,  0]
b-bakt-vi	NA	1724	908	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][  0,  0,  0,  0,  0,  0,  0]
cu-tilav	ml	2351	1039	0	[ 4, 330, 430, 540, 620, 700, 800, 940, 1100, 1350, 13200,  ]	[ 99][  0,  0,  0,  0,  1,  0,  0]
f-diennho	NA	1603	1306	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 95][  0,  5,  0,  0,  0,  0,  0]
b-tnt-o	NA	14220	8854	100	[ 0.4, 47, 50, 52, 55, 61.5, 70, 88, 135, 216.5, 1623,  ]	[ 81][  0,  1,  0,  0, 17,  0,  0]
albumiininjakreatiniininsuhde	NA	562	392	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
uraatti	umol/l	414	345	0	[ 141, 237.3, 267.6, 293.9, 322.2, 354.5, 376.8, 414.1, 444.4, 490.7, 759,  ]	NA
s-infli	mg/l	3379	1160	0	[ 0.03, 2.28, 4.08, 5.4, 6.84, 8.28, 9.84, 11.6, 14, 18.24, 62.9,  ]	[ 64][  0,  0,  0,  0, 36,  0,  0]
pt-ekg-pa	NA	8614	7260	100	[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  ]	[ 99][  0,  0,  0,  0,  1,  0,  0]
s-psa-suh	NA	77276	27044	100	[ 0, 0.183, 0.19, 0.235, 0.278, 0.325, 0.388, 0.45, 0.458, 2.731, 31,  ]	[ 93][  0,  1,  0,  2,  4,  0,  0]
u-epiteelisolut	e6/l	788	604	0	[ 0, 0.3, 0.7, 1, 1.2, 1.9, 2.5, 3.2, 5, 9.73000000000001, 129,  ]	[  8][  0,  4,  0,  0, 87,  0,  0]
s-neutrofiilisetsytoplasma-antigeeni,vasta-aineet	NA	38	37	NA	NA	NA
ps-strjvi	NA	7736	6078	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 59][  0, 40,  0,  0,  1,  0,  0]
s-tnt	NA	5521	4661	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 99][  0,  0,  0,  0,  0,  0,  0]
p-crp-vt	NA	6837	4355	76	[ 2.4, 5.82, 7, 10, 14, 20, 27, 38, 56, 91, 1301,  ]	[ 90][  0,  5,  0,  0,  5,  0,  0]
p-glukr2h	mmol/l	1595	1275	0	[ 2.3, 4.6, 5.2, 5.7, 6.1, 6.6, 7.2, 7.88, 9, 10.5, 26.8,  ]	[100][  0,  0,  0,  0,  0,  0,  0]
f-hb-o	NA	2014	1045	100	[ 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127,  ]	[ 78][  0,  9,  0,  0, 13,  0,  0]
s-immfix	NA	12549	7543	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 85][  0,  3,  0,  0, 12,  0,  0]
-trfesat	%	34421	16135	0	[ 1, 9.6, 14, 17, 20.1, 23, 26.5, 30, 34.6, 42, 310,  ]	[ 80][  0,  9,  0,  4,  5,  1,  0]
f-rotanho	NA	3461	2518	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 99][  0,  0,  0,  0,  1,  0,  0]
maksa-2-is	u/l	974	862	0	[ 1, 4, 5, 6, 7, 9, 12.8, 18, 28.4000000000001, 58.4000000000001, 676,  ]	[ 57][  0, 43,  0,  0,  0,  0,  0]
s-parprot	NA	1578	288	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-albumiininjakreatiniininsuhde	mg/mmol	371	336	0	[ 0.2, 0.3, 0.4, 0.6, 0.7, 0.9, 1.4, 2.7, 4.4, 13.5, 217.1,  ]	NA
du-immfix	NA	2909	1622	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 73][  0,  3,  0,  0, 24,  0,  0]
ab-vekaas	NA	7084	3132	100	[ 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3,  ]	[ 99][  0,  0,  0,  0,  1,  0,  0]
-gcvi	NA	1748	926	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 81][  0,  6,  0,  0, 13,  0,  0]
dnauut1	NA	167	166	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-diffi-kd	NA	16153	3758	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 99][  0,  0,  0,  0,  1,  0,  0]
s-psa-suh	%	11979	6432	0	[ 0.6, 11, 14.186, 16.87, 19, 21.04, 24, 27, 31, 38, 121,  ]	[ 77][  0,  3,  0, 19,  0,  0,  0]
du-prot	NA	6063	3081	100	[ 1940, 1940, 1940, 1940, 1940, 1940, 1940, 1940, 1940, 1940, 1940,  ]	[ 59][  0, 29,  0,  0,  2,  9,  0]
u-eryt-ov	NA	797	538	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
u-leuk-ov	NA	802	543	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
veriryhmävasta-aineet,seulonta,plasmasta	NA	2770	1407	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 96][  0,  4,  0,  0,  0,  0,  0]
ex-baktvi	NA	11616	4666	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 80][  0, 13,  0,  0,  7,  0,  0]
-tbvr	NA	13138	5096	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][  0,  0,  0,  0,  0,  0,  0]
b-morfo	NA	4392	3857	100	[ 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,  ]	[ 86][  0,  1,  0,  0, 14,  0,  0]
p-fibrspr	g/l	138	132	1	[ 1.4, 2.76, 3.1, 3.38, 3.6, 3.8, 4, 4.2, 4.6, 5.3, 7.7,  ]	NA
p-tt-spr	%	510	462	0	[ 15, 72, 80.6, 86, 90, 95, 100, 107, 112, 124, 239,  ]	NA
b-xveri	NA	894	442	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-koirhie	NA	3090	3010	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 91][  0,  3,  0,  0,  4,  1,  0]
pt-ekg-24h	NA	9419	8318	100	[ 18.09, 18.09, 18.09, 18.09, 18.09, 18.09, 18.09, 18.09, 18.09, 18.09, 18.09,  ]	[ 97][  0,  0,  0,  0,  3,  0,  0]
s-ca15-3	u/ml	20151	5745	0	[ 1, 8, 11, 13, 16, 19, 23, 31, 50, 130, 13118,  ]	[ 53][  0, 20,  0,  0, 20,  7,  0]
s-testo	NA	10219	6055	99	[ 0.2, 6.3, 7.5, 8.4, 9.5, 12, 13, 16.82, 18.34, 20.79, 336,  ]	[ 50][  0, 32,  0, 14,  4,  0,  0]
s-ferrit	NA	3668	2781	97	[ 3.3, 10.5, 18, 25.65, 35.4, 40.5, 52, 79, 104.7, 161.7, 649,  ]	[ 24][  0, 25,  0, 48,  2,  0,  0]
b-lymf	%	4442	974	0	[ 1.8, 15.61, 20.1, 23.63, 26.6, 29.1, 32, 35, 38.4, 43, 80,  ]	[ 87][  0, 13,  0,  0,  0,  0,  0]
u-baktalv	NA	2256	1599	99	[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  ]	[ 97][  0,  2,  0,  0,  1,  0,  0]
pt-ekg,12kytkentälevossa	NA	227	215	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-bakteeri,viljelyvirtsasta	NA	2415	1087	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 67][  0,  0,  0,  0, 33,  0,  0]
influenssab-virus,nukleiinihappo(kval)	NA	627	520	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 55][  0,  0,  0,  0, 45,  0,  0]
sars-cov-2,influenssaa,bjarsv,nukleiinihappo(kval)	NA	240	199	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-puumpik	NA	1976	1719	100	[ 0, 158, 316, 474, 632, 790, 948, 1106, 1264, 1422, 1580,  ]	[ 88][  0, 12,  0,  0,  0,  0,  0]
s-ca(7.4)	NA	14969	8450	98	[ 1.03, 1.18, 1.2, 1.22, 1.23, 1.24, 1.26, 1.279, 1.3, 1.36, 1.63,  ]	[ 86][  0,  3,  0,  0,  9,  1,  0]
pvlisäm	NA	1158	458	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-kopept	pmol/l	380	286	1	[ 0.8, 1.8, 2.3, 2.9, 3.4, 4.45, 5.8, 8.59, 14, 34.1, 445.2,  ]	NA
u-bio	NA	1764	1142	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 60][  0,  0,  0,  0, 40,  0,  0]
-cyp2b6	NA	1550	1497	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 23][  0,  0,  0,  0, 77,  0,  0]
fl-strbnho	NA	7516	6415	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 28][  0,  5,  0,  0, 68,  0,  0]
b-cd19	e9/l	2433	1221	1	[ 0, 0, 0, 0.01, 0.03, 0.06, 0.1, 0.14, 0.2, 0.31, 132.8,  ]	[ 41][  0, 59,  0,  0,  0,  0,  0]
ly-cd4/cd8	NA	2561	1292	4	[ 0.03, 0.37, 0.54, 0.74, 0.95, 1.17, 1.46, 1.8, 2.24, 3.18, 41.01,  ]	[ 63][  0, 37,  0,  0,  0,  0,  0]
b-cd4	e9/l	2433	1221	1	[ 0.01, 0.14, 0.2, 0.25, 0.31, 0.39, 0.49, 0.605, 0.77, 1.02, 10.28,  ]	[ 36][  0, 64,  0,  0,  0,  0,  0]
-hbvnh	NA	111	82	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-hbvnh	NA	1647	1018	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 72][  0,  4,  0,  0, 24,  0,  0]
-trfesat	NA	3750	2825	98	[ 6, 13, 15, 18, 21, 24, 26.896, 29.6, 35.8, 42.8, 56,  ]	[ 52][  0,  5,  0, 11, 31,  2,  0]
b-basof	e9/l	4543	2295	0	[ 0, 0.02, 0.02, 0.03, 0.04, 0.04, 0.05, 0.05, 0.06, 0.08, 0.62,  ]	[ 98][  0,  2,  0,  0,  0,  0,  0]
b-lymfos	e9/l	4332	2283	0	[ 0.14, 1.01, 1.27, 1.45, 1.62, 1.81, 2, 2.22, 2.53, 3.02, 60.55,  ]	[ 76][  0, 24,  0,  0,  0,  0,  0]
pt-glumerulussuodosnopeus,estimoitu,cjd-epikaava	ml/min/173m2	3080	1804	0	[ 7, 40, 50, 60, 66, 72, 78, 83, 88, 95, 138,  ]	[  0][  0, 35,  0,  0, 65,  0,  0]
s-osmolaliteetti	mosm/kgh2o	31	28	NA	NA	NA
s-smabbl	NA	3830	3301	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 52][  0,  0,  0,  0, 48,  0,  0]
b-sikiörh	NA	5460	3681	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 76][  0, 13,  0,  0, 11,  0,  0]
s-tbeab	NA	1834	1631	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 77][  0,  0,  0,  0, 23,  0,  0]
li-eryt	e6/l	10742	7322	0	[ 0, 0, 0, 1, 2, 4, 12, 47, 238, 2300, 2956800,  ]	[ 33][  0, 64,  0,  0,  0,  3,  0]
s-hevohie	u/ml	2273	2132	5	[ 0, 0, 0.01, 0.03, 0.09, 0.16, 0.33, 0.72, 1.82, 5.15, 154,  ]	[ 37][  0, 13,  0,  0, 29, 21,  0]
s-koirhie	u/ml	2896	2727	2	[ 0, 0.02, 0.08, 0.14, 0.25, 0.45, 0.88, 1.7, 3.982, 9.596, 317,  ]	[ 35][  0, 18,  0,  0, 18, 30,  0]
ts-fnab	NA	12124	9670	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 87][  3,  0,  0,  0, 10,  0,  0]
-kor229e	NA	2608	1776	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][  0,  0,  0,  0,  0,  0,  0]
b-pvk-päi	NA	120	96	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-munavae	NA	2175	2131	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 93][  0,  1,  0,  0,  5,  1,  0]
u-nitr	NA	3392	1614	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
u-muulier	e6/l	11302	4213	0	[ 0, 0, 0, 0, 0, 0, 0, 0.13, 0.14, 0.41, 196.36,  ]	[ 81][  0,  7,  0,  0, 11,  0,  0]
p-ca(7.4)	mmol/l	19087	7529	0	[ 0.62, 1.11, 1.14, 1.16, 1.17, 1.19, 1.2, 1.21, 1.23, 1.26, 2.23,  ]	[ 73][  0, 26,  0,  1,  0,  0,  0]
p-na-veka	mmol/l	18461	6676	0	[ 108, 133, 136, 137, 138, 139, 140, 141, 142, 144, 181,  ]	[ 67][  0, 33,  0,  0,  0,  0,  0]
cb-tt-inrp	NA	7465	219	75	[ 0, 1.8, 2.1, 2.2, 2.4, 2.5, 2.7, 2.9, 3.1, 3.5, 86,  ]	NA
fs-fe	NA	1033	680	98	[ 8.9, 11.36, 12.5, 13.58, 14.58, 16.3, 19.96, 24.51, 26.76, 34.02, 36,  ]	[ 50][  2, 27,  0,  3, 17,  0,  0]
p-fibr	g/l	33624	11934	0	[ 0.3, 1.7, 2.1, 2.5, 2.8, 3.1, 3.5, 4, 4.6, 5.7, 16.7,  ]	[ 34][  0, 26,  0,  6, 20, 13,  0]
s-valpr	NA	5597	2152	100	[ 241, 297.6, 354.2, 410.8, 467.4, 524, 647.8, 771.6, 895.4, 1019.2, 1143,  ]	[ 54][  0, 28,  0, 13,  2,  3,  0]
pt-audio	NA	657	598	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 91][  0,  0,  0,  0,  9,  0,  0]
cb-vekapak	NA	2420	1532	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
p-crp/pik	mg/l	3418	2085	0	[ 0, 6, 8, 10, 14, 20, 28, 39, 55, 88, 200,  ]	[  0][  0,  0,  0,  0, 32, 68,  0]
nu-albkre	NA	1697	1105	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 43][  0,  0,  0,  0, 47, 10,  0]
b-lymf	NA	8892	5463	96	[ 0.3, 0.918, 1.17, 1.42, 1.61, 1.82, 1.94, 2.098, 2.33, 2.702, 4.73,  ]	[ 31][  0,  9,  0, 10, 46,  4,  0]
oma-p-crp	NA	13648	5866	50	[ 1, 6, 8, 10, 15, 20, 29, 42, 62, 96, 200,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
s-trypt	ug/l	3241	2149	0	[ 1.1, 2.7, 3.5, 4.1, 4.8, 5.8, 7.5, 11.8, 18.24, 44.8, 859,  ]	[ 62][  0, 21,  0,  0, 11,  6,  0]
pm-scl100	NA	1695	1461	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 97][  0,  1,  0,  0,  2,  0,  0]
pdgfr	NA	446	422	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
cenp-b-ib	NA	547	508	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 99][  0,  1,  0,  0,  0,  0,  0]
pt-dxm-r1	NA	5853	4483	100	[ 11, 14.6, 17, 18.2, 23, 25, 27.2, 32.4, 36.6, 55, 69,  ]	[ 98][  0,  0,  0,  0,  2,  0,  0]
b-ristaus	NA	2541	1294	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[  3][  0,  0,  0,  0, 97,  0,  0]
b-hb-f	NA	561	261	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-hba1cvt	mmol/mol	9177	1808	0	[ 5.2, 41, 44, 47, 50, 53, 57, 61, 66, 75, 142,  ]	[  4][  0, 71,  0,  0, 17,  7,  0]
p-amylp	NA	16457	9805	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 32][  0,  3,  0,  3, 59,  1,  1]
b-hb-fr	NA	350	319	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pt-diabet	NA	135	114	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-cr	NA	1311	944	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 77][  0, 14,  0,  0,  7,  2,  0]
f-etecnho	NA	1524	1299	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 93][  0,  0,  0,  0,  7,  0,  0]
f-yersnh	NA	146	124	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
se-amyl	u/l	1466	545	1	[ 1, 8, 15, 25, 42, 78, 192, 532.599999999999, 1742.8, 9780.70000000002, 309200,  ]	[ 99][  0,  0,  0,  0,  1,  0,  0]
ihopisto	mmol/l	3673	1835	0	[ 0, 5.7, 6.3, 6.7, 7, 7.4, 7.9, 8.4, 9.2, 10.7, 505,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
u-amyl	u/l	2586	2093	0	[ 4, 40, 61, 85, 112, 143, 184, 246, 330, 541.2, 28832,  ]	[ 86][  0,  4,  0,  1,  3,  4,  1]
s-adalimu	mg/l	1664	848	0	[ 0.01, 3.4, 5.248, 6.7, 7.9, 9.2, 10.5, 12, 14, 17, 40,  ]	[ 56][  0, 19,  0,  0, 26,  0,  0]
s-afsuol3	u/l	1059	912	0	[ 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 160,  ]	[ 98][  0,  1,  0,  0,  1,  0,  0]
s-hcg	u/l	5455	2618	0	[ 0, 5, 19, 61.08, 159, 339, 626.4, 1372.6, 3801.2, 15700, 266550,  ]	[ 82][  0,  6,  0,  0,  0, 12,  0]
down-riski	NA	3455	2638	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 97][  0,  0,  0,  0,  3,  0,  0]
b-mut-d	NA	262	258	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
u-leuk-0	NA	2909	982	98	[ 0, 0, 0, 0, 0, 0, 1, 2, 2, 4, 4,  ]	[ 30][  0, 10,  0,  0, 61,  0,  0]
s-latekse	u/ml	191	188	5	[ 0, 0, 0, 0, 0.01, 0.01, 0.01, 0.02, 0.04, 0.14, 47,  ]	NA
pt-notto3	NA	8657	3966	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
vb-emäsylimäärä	mmol/l	1758	1038	0	[ -16.7, -0.6, 0.6, 1.1, 1.7, 2.3, 3.1, 3.9, 5.3, 7.32999999999999, 29.6,  ]	[ 28][  0, 29,  0,  0, 21, 23,  0]
vb-standardibikarbonaatti	mmol/l	2312	1210	0	[ 5.7, 20.1, 21.8, 22.9, 23.7, 24.5, 25.1, 26, 27, 29, 54.5,  ]	[ 26][  0, 23,  0, 26, 16,  8,  0]
-bopanho	NA	1582	1186	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
pf-solut	NA	4982	3318	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 68][  0,  0,  0,  0, 32,  0,  0]
s-jo1ab	NA	9187	7743	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 73][  0,  0,  0,  0, 27,  0,  0]
ca++	mmol/l	16714	4222	0	[ 0.67, 1.13, 1.16, 1.19, 1.2, 1.22, 1.23, 1.25, 1.27, 1.3, 2.4,  ]	[ 73][  0, 23,  0,  0,  5,  0,  0]
bakteerit,virtsa	NA	3761	1725	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 99][  0,  0,  0,  0,  1,  0,  0]
hi-virus,antigeenijavasta-aineet,yhdistelmätutkimus	NA	637	471	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
ekg,12kytkentäälevossa	NA	3677	1918	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 94][  0,  0,  0,  0,  6,  0,  0]
b-sopkoe	NA	567	247	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-epo	u/l	4503	3593	0	[ 1, 4.652, 6.694, 8.4, 10.2, 12.2, 14.9, 19.4, 30.4, 61.58, 2824,  ]	[ 49][  0, 23,  0,  5, 14,  9,  0]
s-igg-oc	g/l	991	929	0	[ 2.7, 6.9, 7.8, 8.5, 9.2, 9.8, 10.3, 11, 11.8, 13.3, 30.1,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
s-yersabl	NA	380	314	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
vitascreen	NA	828	606	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 38][  0,  1,  0,  0, 61,  0,  0]
astma-testi	NA	41	37	NA	NA	NA
seulonta-papa	NA	55	54	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-ghba1c	%	3608	2427	0	[ 4.5, 5.4, 5.6, 5.7, 5.9, 6.1, 6.4, 6.8, 7.4, 8.3, 16.5,  ]	[ 44][  0, 53,  0,  0,  2,  0,  0]
fp-kol-pak	NA	46	46	NA	NA	NA
pt-gfreepi	form	16650	2954	0	[ 3.4, 41.59, 52.9, 61.2, 67.9, 74.1, 80.2, 85.5, 90.4, 97.1, 194.7,  ]	[ 96][  0,  1,  0,  0,  3,  0,  0]
