TEST_NAME	MEASUREMENT_UNIT	TEST_ID	n_subjects
s-hs-crp	mg/l	8311	51
s-ruokryh	u/ml	450	51
glutamaattidekarboksylaasi,vasta-aineet	NA	4400	51
fp-kolesteroli,plasma	mmol/l	4515	51
s-alfa-1-fraktio	g/l	8951	51
ts-pad-ih2	NA	4191	51
fb-bio-0	NA	21498	51
p-kupari	umol/l	6598	51
u-osmest	mosm/kgh2o	163	51
d-cmvabm	NA	13206	51
hoiinr	NA	99135	51
d-hbcab	NA	13696	51
s-rarah3e	NA	7318	51
s-rarah1e	NA	7317	51
infbnho	NA	603169	51
infanho	NA	603168	51
p-igm	NA	1605021	51
li-nmdarab	NA	13348	51
b-fvfii-d	form	10151	51
ts-t-solut	NA	4860	51
oma-k+epoc	NA	57384	51
oma-ca++epoc	NA	57385	51
p-iga	g/l	1623681	51
fp-gluk0	mmol/l	603147	51
s-rprup3e	u/ml	20683	51
hba1cvieritestipoliklinikoille	mmol/mol	14214	51
soitto	NA	10574	51
l-monosyytit	%	693	51
tyro	NA	07815	51
ikäryhmä	u/l	4597	51
d-hbsag	NA	13347	51
l-eosinofiilit	%	690	51
s-ca19-9antigeeni	u/ml	3412	51
u-kemseul,u-ph	NA	1881_U-PH	51
s-alb	g/l	12898	51
ikäryhmä	e9/l	2218	51
p-uraatti,plasma(umol/l)	umol/l	4533	51
s-pla2	NA	18141	51
p-f8paiv	%	16244	51
d-toxoabm	NA	20095	51
s-viseabm,borreliaburgdorferinvisejaospcproteiinit,vasta-ainetigm	au/ml	20608	51
d-trpaab	NA	20663	51
s-pla2rab	NA	8967	51
s-tesmsvl	pmol/l	21914	51
sm-d-ib	NA	20131	51
s-alb/li	g/l	0656	51
virdonor	NA	19823	51
pt-ikg	NA	1690	51
b-rotem	NA	50540	51
u-partik,epit(viite<10)	NA	609823_3	51
s-rcora8e	NA	7323	51
pt-kylm�p	NA	2856	51
d-hcvab	NA	974	51
s-maitkoe	NA	10053	51
li-vireia	NA	8833	50
s-bor-ab	NA	3552	50
-infbnho	NA	7010706	50
s-golim	NA	92530	50
-baktvr	NA	0895	50
b-trom-s	NA	10571	50
vb-ph	NA	606025	50
dpteroe	NA	9844	50
f-hhb-o	estimate	3813	50
f-crypag	NA	613104	50
ikäryhmä	mmol/l	2099	50
u-suhti	NA	1102715	50
p-hivkant	NA	22085	50
fp-aldos	NA	6336	50
s-ca(7.4)	mmol/l	1600529	50
oma-gluepoc	NA	57386	50
vb-pco2	kpa	6001623	50
vb-he-tase,vb-beecf	mmol/l	1543_VB-BEECF	50
s-koivue	u/ml	3836	50
f-campnho	NA	13662	50
b-plas-p	NA	12315	50
pt-sydrtuä	NA	2106272	50
cb-happoemästase	NA	1542	50
laushetr	NA	15152	50
p-igm	NA	650028	50
sy-mononuk	%	0517	50
s-hevonee	NA	427	50
coombs,suora(mono-/polyspes.antis.(kval)	NA	3015	50
f-yersnho	NA	13661	50
-infvnho	NA	10787	50
-hmpvnho	NA	625580	50
tilavuus,keräysvirtsa	ml	207	50
p-rauta	umol/l	4529	50
s-glyrab	NA	13255	50
bm-mm-ift	NA	622081	50
-inbnho	NA	9941	50
oma-chgbepoc	NA	57391	50
p-urea-de	mmol/l	23351	50
-rsvnho	NA	625586	50
troponiinit(pikatesti)(b-tnt-o)	NA	4464	50
tntvieritesti,terveyskeskuksille	NA	9102	50
s-vzvabg	iu/l	6004467	50
kalsium,ionisoitunut,7.4seerumi	mmol/l	5099	50
sy-gran	%	00771	50
fp-c-pept	nmol/l	648666	50
f-ehecnho	NA	13664	50
b-lakt-d	NA	603141	50
s-ck-mb	%	10333	50
ex-eos	NA	7005	50
s-veritapaturmatutkimus,mahdollisentartunnankohde	NA	8948	50
p-tt-inrqc	NA	605907	50
bilirubiini	umol/l	4592	50
p-nestearvot,vieritutkimus	NA	11374	50
f-salmnho	NA	13660	50
s-golimab	NA	13646	50
f-cldtnho	NA	622578	50
f-cldtnho	NA	3960015	50
keräyksenkesto	min	211	50
oma-straag	NA	14174	50
m-komp-1	NA	10736	50
p-bio	NA	21465	50
s-chlacf	NA	3000989	50
s-ssbab	NA	103323	50
vb-veion	NA	9950	50
s-inhibb	NA	9165	50
-piconho	NA	625585	50
helicobacterpylori,nukleiinihappo(kval)ulosteesta	NA	6314	50
-rvirnho	NA	625577	50
oma-cl-epoc	NA	57388	50
e-vrtark	NA	1607092	50
imu	NA	4040	50
-bokanho	NA	625579	50
-infanho	NA	625581	50
-pinfnho	NA	625584	50
u-ctgcnho	NA	619802	50
li-gluk	mmol/l	3001470	50
ekg-12	NA	1270	50
14638	nmol/l	14638	50
-adennho	NA	625578	50
oma-phepoc	NA	57380	50
li-kkab	NA	13345	50
neisseriagonorrhoeae,nukleiinihappo(kval)(gcnho)	NA	4937	50
p-cu	umol/l	50378	50
pika-crp	NA	9112	50
b-tbifng	iu/ml	7032619	50
b-col/epi	s	0124	50
l-lymf	%	16031	50
oma-po2epoc	NA	57382	50
p-urea-dj	mmol/l	23352	50
s-he4proteiini	pmol/l	12906	50
e-aborhgr	NA	29510	50
s-rapim1e	NA	13820	50
s-kudostransglutaminaasi,igavasta-aineet(keliakia)	NA	1885	50
oma-strepa	NA	625854	50
f-hiivavi	NA	9236	50
prolaktiini	mu/l	2507	50
p-krea.	umol/l	8032	50
b-pvk+t	NA	628340	50
f-plesnho	NA	14085	50
sy-liuskat	%	0516	50
li-neviab2	NA	8146	50
b-crpp	NA	628258	50
-infbnho	NA	625582	50
s-ruokaerittely,igevasta-aineet	u/ml	508	50
-infanho	NA	7010482	50
s-siliab	NA	1102634	50
l-neut	%	16032	50
oma-pco2epoc	NA	57381	50
f-sh/eiec	NA	13663	50
14025	mg/l	14025	50
-koronho	NA	625583	50
b-trom	%	2791	50
vb-po2	kpa	6001537	50
s-igg/li	g/l	0657	50
e-rdw	NA	629909	50
s-asiroe	u/ml	7107	50
s-mup44ab	NA	13923	50
s-tshrab	NA	103059	50
14273	NA	14273	50
f-vibrnho	NA	14086	50
21599	NA	21599	50
b-ghbpika	NA	41532	50
s-allige,kala(turska)/fisk(torsk)	NA	9237	50
l-meta	NA	45075	50
-str-jvi	NA	4167	50
fp-reninm	NA	6338	50
pt-obd-2	NA	4070	50
muut,3-osa	%	11578	50
deksametasoni-koe,lyhyt	NA	1225	50
s-ige-sse,pölyryhmä:dpteroe,kissae,hevonene,koirae,timoteie,cladhee,koivue,pujoe	u/ml	5287	50
s-hbsag-o	NA	603015	50
f-giarag	NA	613105	50
-inanho	NA	9940	50
ntkmom	NA	1627338	50
-infrscv	NA	10943	50
b-inrpika	inr	94520	50
s-tati	NA	3592	50
pt-reumas	NA	10768	50
l-mono	%	16033	50
li-/s-alb	NA	9057	50
pt-enmg-3	NA	1632493	50
chlamydiatrachomatis,nukleiinihaponosoitus(chtrnho)	NA	4206	50
ps-crp	NA	100110	50
p-b12-tc2	NA	1142	50
f-etecnho	NA	13666	50
virtaustilavuus-spirometriabronkodilataatio-kokeella	NA	6007	50
p-t3-v	pmol/l	3959917	50
s-dnaab	NA	10402	50
ikäpaketti2(lipidit,gluk,alat,gt,pvk,k,na,krea)	NA	12480	50
esik	NA	91000	50
b-sikiörh	NA	2917046	50
s-mypnabm	NA	8352	50
s-amokige	NA	53006	50
s-ruoat	u/ml	4224	50
s-d-1,25	NA	3163	50
s-nglym5e	NA	7416	50
s-lamotri	umol/l	3004328	49
s-d-25-32	NA	9746	49
du-na	mmol	3002376	49
vb-thb	g/l	0070	49
mb-ca(7.4)	mmol/l	5438	49
p-psa-suh	%	2650760	49
s-e2	nmol/l	6001366	49
pika-krea	umol/l	100028	49
ts-pika2	NA	780	49
b-monosyytit	NA	3230	49
b-tni-vt	ng/l	10161	49
b12-vitamiini,transkobalamiiniii:eens	pmol/l	1142	49
fl-strbvi	NA	603044	49
u-tutk-1,leuk-0	NA	1605276_7	49
b-6-me-mp	umol/l	21214	49
coombs,suora(polyspesifinenantiseerumi)(kval),punasoluista	NA	3015	49
fp-fe	umol/l	9084	49
s-igg1	NA	1004225	49
s-ck-mm	u/l	10330	49
oma-lacepoc	NA	57387	49
vb-be-vt	mmol/l	PAIKALLINEN5604595	49
pt-konsn-1	NA	4926	49
u-tutk-1,gluk-0	NA	1605276_1	49
mb-hbo2sat	%	5430	49
ex-baktvr	NA	11934	49
pt-luutih2	NA	NK6QA	49
vb-pco2-vt	NA	PAIKALLINEN5604594	49
punasolujenkokojakaumaparametri	%	9120	49
oma-hctepoc	NA	57390	49
b-diff	NA	2225	49
u-amyl	u/l	101080	49
mb-hb	g/l	23080	49
p-tfr	NA	603124	49
neuvola1	NA	0588	49
-mypnnho	NA	44390	49
hevonee	NA	9841	49
s-dengabm	NA	3001716	49
gliadiinipeptidit,deamidoidut,iggvasta-aineet	NA	6299	49
mb-na-veka	mmol/l	5432	49
e-rethe	pg	629911	49
pt-gfre	ml/min/173m2	1653571	49
u-krea	mmol/l	622013	49
vb-ph-vt	NA	PAIKALLINEN5604593	49
f-mm-o	NA	8131	49
-frtuab	titre	2816	49
s-afluu	u/l	9308	49
ab-hbo2svt	%	11586	49
pt-eneg-2	NA	3533	49
u-bakteeri,jatkoviljelyseulottunäyte(ko)	NA	3777	49
vb-hbo2sat	NA	0122	49
p-ca-ion	NA	2630068	49
s-prostataspesifinenantigeeni,suhde	NA	4637	49
120mgluk	mmol/l	0115	49
li-cob5abg	NA	8637	49
mittaustulos(umol/l)	NA	Trom405	49
s-tocaab	NA	1945	49
l-lym	%	10102	49
b-pco2	kpa	3000104	49
b-peth	umol/l	652420	49
bm-tbevi	NA	8800	49
fp-kolesteroli,lowdensitylipoproteinit	NA	4599	49
s-c-pept	nmol/l	10310	49
s-igg2	NA	1004226	49
b-tntp	ng/l	4464	49
pt-säil	NA	404	49
u-albkrea	mg/mmol/l	4511	49
mb-pco2	kpa	5427	49
u-albkre	mg/mmol	648007	49
sy-monit	%	0388	49
vb-be	mmol/l	6000513	49
s-ca-ion	NA	7010666	49
bdi	form	10425	49
l-muut	%	10103	49
s-crp	NA	10000	49
mb-po2	kpa	5428	49
f-elast1	NA	1601475	49
vb-k-vt	NA	PAIKALLINEN5604598	49
u-tutk-1,nitr-0	NA	1605276_6	49
b-gluk-pt	mmol/l	23251	49
b-sivdiff	NA	10705	49
p-lh	u/l	102265	49
s-mi2ab-o	NA	21182	49
verikaasuanalyysi,valtimoveri	NA	3647	49
ab-be	mmol/l	0414	49
mb-gluk	mmol/l	5433	49
s-psa-v/t	%	09141	49
pt-virtaustilavuus-spirometriailmanlausuntoa	NA	6006	49
ab-ph	NA	1001527	49
u-tutk-1,ph	NA	1605276_4	49
p-tffesat	NA	1605079	49
kreatiniini	umol/l	2145	49
s-ye-col3	NA	10298	49
p-bnp	ng/l	2925025	49
vb-hco3-vt	NA	PAIKALLINEN5604596	49
b-muuta	NA	16044	49
p-rf	NA	629899	49
oma-kreaepoc	NA	57389	49
s-igg	NA	1001676	49
b-fuus-mr	NA	12495	49
u-tutk-1,prot-0	NA	1605276_5	49
sy-yksit	%	0387	49
mrsa-nenä	NA	610841	49
vb-na-vt	NA	PAIKALLINEN5604597	49
tromboplastiiniaika	%	1731	49
vb-hb-vt	NA	PAIKALLINEN5604599	49
s-hepyabg	responseequivalent	3954	49
p-na	NA	620597	49
s-igg3	NA	1004227	49
mb-cl	mmol/l	5435	49
bl-lycd4/8	NA	11400	49
pt-lt01	NA	11094	49
s-infliks	mg/l	11093	49
ts-sekvy-d	NA	20657	49
u-tutk-1,keto-0	NA	1605276_2	49
p-prostataspesifinenantigeeni	ug/l	3642	49
u-morf-o	NA	11653	49
fs-ca-ion	mmol/l	102019	49
b-po2	kpa	3000107	49
omahemoglobiini	g/l	255	49
mb-ca-ion	mmol/l	5437	49
p-hco3	mmol/l	3000106	49
s-lakalbe	u/ml	8229	49
s-kissanhilse,igevasta-aineet	u/ml	53063	49
s-siliab	NA	102634	49
b-tacroms	ug/l	11930	49
s-pmdm-t	NA	8344	49
s-tuumori	NA	18306	49
u-tutk-1,eryt-0	NA	1605276_3	49
b-ca++-v	NA	0142	49
fl-flagnat	NA	0446	49
pt-ekg-12	form	1270	49
u-eddp-o	NA	11651	49
s-lamotri	NA	1004328	49
p-mg	mmol/l	1002303	49
mb-vekaion	NA	5426	49
b-ph	ph	3000103	49
s-emaba	NA	1003729	49
pika-na	mmol/l	100026	49
b-tpmt-d	NA	54933	49
f-noropcr	NA	20789	49
pika-k	mmol/l	100022	49
hepakäsma	NA	18142	49
vieri-cv19ag	NA	901	49
fp-gluk,t	NA	9702	49
fp-gluk-1	mmol/l	9237g	49
u-eryt	NA	9711	49
u-spice-o	NA	11652	49
s-hcvab	NA	1600076	49
li-hemafc	form	6236	49
s-maitoe	u/ml	3000456	49
p-pct	ug/l	11659	49
s-c-pept	NA	10243	49
-chtrnho	NA	104206	49
u-partik,muut	NA	609823_4	49
s-prot-fr	NA	1102522	49
l-gran	%	10101	49
oma-u-tutk,u-ph	NA	259_U-PH	49
s-caspähe	NA	23294	49
b-neutrofiilit	e9/l	689	49
vb-pco2	kpa	606037	49
b-be	mmol/l	3000105	49
fl-fluonat	NA	0443	49
mb-laktaat	mmol/l	5434	49
mb-k-veka	mmol/l	5431	49
fp-gluk-2	mmol/l	9234g	49
fp-gluk,fc	mmol/l	608726	49
s-aripipr	nmol/l	6150	49
li-igg-ind	NA	3000224	48
-predgen	NA	55103	48
down-riski	NA	1627340	48
ps-straagpika	NA	103635	48
ikäriski	NA	1627339	48
se-pmn	%	13190	48
s-äitseul	NA	880	48
p-kolesteroli	mmol/l	4515	48
mononukleaarisetsolut,selkäydinneste	NA	668	48
21577	NA	21577	48
nakglukrep	NA	11000	48
p-t4-v	NA	623356	48
du-k	NA	1001994	48
p-krea-vt	NA	623056	48
s-tygl-va	NA	7370301	48
p-na-vt	NA	623035	48
s-hi-virus,antigeenijavasta-aineet	NA	4814	48
s-jo1ab	NA	609620	48
p-c-reaktiivinenproteiini,hoitoyksikkö	NA	50303	48
neutrofiilit,3-osa	%	11577	48
s-ssaab	NA	6003322	48
s-igg4	NA	3004228	48
p-asat	NA	1605264	48
fp-fe	NA	0799	48
albumiini	mg/l	1029	48
as-muutsol	NA	312	48
s-ssaab	NA	609616	48
as-lymf	NA	172	48
troponiinit,vieritutkimus,tehdäänitse	NA	11332	48
f-noroag	NA	619004	48
m2-3e(bpo)	NA	13317	48
s-hivagab	NA	854	48
u-inh-o	NA	3056	48
li-igg-ind	NA	4601102	48
s-sentbab	NA	609613	48
s-enal	NA	609612	48
sy-mononuk	NA	3000283	48
pt-tms-mot	NA	21489	48
kiirelisä	NA	22012	48
s-sikiönkeh.häiriöidenseulonta,1.trimesteri	NA	4548	48
s-gbmab	NA	1001456	48
p-tromboplastiiniaika-pika,inrpika-tulos	NA	50489	48
fp-gluk/0	mmol/l	0327	48
as-trigly	mmol/l	2769	48
s-koivunsiitepöly,igevasta-aineet	u/ml	53067	48
p-gluk	mmol/l	101462	48
b-lymfosyytit,3-osa	e9/l	11586	48
-vrevi	NA	1604756	48
b-trinho	NA	6060	48
fp-trfesat	%	603604	48
f-calpro	ug/g	2672082	48
pt-lasku	NA	21809	48
infaag	NA	4415	48
mediscrn	NA	10205	48
s-pölyryh	u/ml	3000400	48
s-pappa	NA	10015255	48
epstein-barrvirus,nukleiinihappo(kvant)	NA	4775	48
s-trpaab	NA	855	48
s-kipa	NA	92020	48
s-smab	NA	609619	48
u-bakteeriviljely2	NA	9495	48
-povnh	u/ml	12811	48
e-antiigg	NA	50268	48
p-ca-albk	NA	63840	48
u-prot-o	NA	12529	48
e-antic3d	NA	50269	48
s-rcora1e	u/ml	7322	48
p-hcvnh	iu/ml	13973	48
s-latekse	NA	53072	48
s-tria14e	NA	14062	48
s-ige-sse,pölyryhmä:dpteroe,kissae,hevonene,koirae,timoteie,cladhee,koivue,pujoe	NA	5287	48
lc-1	NA	13322	48
p-vrab-0	NA	619217	48
vb-be	mmol/l	606038	48
u-osmoie	NA	20479	48
p-gluk/1h	mmol/l	0328	48
b-hba1c/pika	NA	61288	48
fp-trfesat	NA	617671	48
s-rmald3e	u/ml	21204	48
s-cdt	NA	601933	48
s-hbsag	NA	824	48
p-na-vieri	mmol/l	606019	48
b-hba1c	%	628180	48
leukosyytit,virtsa	NA	2221	48
s-scl70ab	NA	609621	48
oma-hba1c	NA	57052	48
s-testovl	NA	7033645	48
pu-baktvi2	NA	603116	48
s-enaab	NA	609615	48
fs-munupak	NA	10408	48
s-pölyer(ent.phadiatop)tykslab	u/ml	7154	48
s-hcg-b-v	NA	10015254	48
u-kemseul	NA	623835	48
b-mono	NA	3230	48
s-nbosd6e	NA	3836	48
b-hemocue	NA	5017729	48
vb-hco3	mmol/l	606039	48
transferriinirautakyllästeisyys	%	4606	48
s-igg	NA	3011676	48
pika-k	mmol/l	623963	48
s-aspfume	NA	13600	48
p-k-vieri	mmol/l	606020	48
s-havabm	NA	101602	48
cv19ag2	NA	7902	48
s-tpha	NA	2102759	48
b-lakt-d	NA	1604217	48
sy-neut+eo	NA	3000272	48
2hgluk	mmol/l	0709	48
10081	mmol/l	10081	48
0mgluk	mmol/l	0700	48
pt-eso-les	NA	20713	48
b-sikiörh	NA	13490	48
neutrofiilit+eosinofiilit,selkäydinneste	NA	667	48
p-gluk/2h	mmol/l	0329	48
tug	NA	609359	48
du-ca	NA	6002011	48
tyreoideaperoksidaasi,vasta-aineet	NA	6406	48
pt-vainaja	NA	1607174	48
-zoonnho	NA	3967537	48
s-psavapaanjatotaalinsuhde	%	9141	48
p-k-vt	NA	623055	48
s-adrab	titre	2258	48
-hivabct	NA	1754	48
pt-oskhid	NA	4970	48
p-ige	u/ml	1101673	48
pika-krea	umol/l	623965	48
ts-pad-ih	NA	1104191	48
-bokaag	NA	10400	48
u-leuk-o	u/field	2223	48
-fishhyb	form	9698	48
s-hscrp	mg/l	10061	48
s-tshrab	NA	1630264	48
pt-glukoosi-koe,oraalinen,lyhyt,0ja2h-näyte	NA	9503	48
s-b12-vit	NA	4001137	48
b-neutrofiilit,3-osa	e9/l	11585	48
s-c-pep-a	NA	7033172	48
s-anca-c	NA	8023	48
uv-be	NA	8913	48
as-gran	NA	173	48
p-iga	g/l	621208	48
ab-o2sat1	%	23072	48
b-tvk	%	3696	48
s-pölyeri	NA	53146	48
b-baktvi	NA	2101153	48
p-tni	NA	601854	48
b-peth	umol/l	9149	48
s-pölyer	u/ml	601978	48
s-rarah9e	u/ml	7319	48
lymfos	NA	11580	48
lymfosyytit,3-osa	%	11576	48
s-rnpab	NA	609618	48
s-nglym6e	NA	7417	48
ca++/ph7.4	mmol/l	602994	48
s-vzvabg	u/l	4467	48
s-pölyt	NA	5400	48
cv19infrs	NA	632190	47
b-hba1c-o	NA	2632284	47
fp-fe	umol/l	617691	47
s-cv19abg	NA	12623	47
b-borrnho	NA	20697	47
oma-u-tutk,u-leuk	NA	259_U-LEUK	47
p-probnp	ng/l	621277	47
hcgvb/dkmo	NA	20756	47
lasko	NA	2203	47
s-digoks	NA	101256	47
s-pölyryhmäjatarvittaessaerittely,igevasta-aineet(ko)	u/ml	7154	47
b-hkr	%	625376	47
fb-leuk	NA	625355	47
erytroblastit	NA	19978	47
e-mch	pg	625378	47
c-reaktiivinenproteiini,pika	NA	9800	47
salmnho	NA	630394	47
p-rf	NA	10067095	47
s-sentbab	NA	10411	47
s-albimm	NA	3000577	47
s-vzvabg	eiu	2104467	47
vb-be	mmol/l	4933	47
u-ctgcnho	NA	648013	47
13191	%	13191	47
s-pakkasn	NA	19347	47
s-gamma	g/l	0079	47
s-alfa-1	g/l	0076	47
s-viseabm,borreliaburgdorferinvisejaospcproteiinit,vasta-ainetigm	NA	20608	47
ehecnho	NA	630393	47
s-koirae	u/ml	3836	47
b-ghba1c-	%	1607246	47
s-hivagab	NA	0066	47
campnho	NA	630390	47
plesnho	NA	630395	47
du-prot	NA	1102513	47
pt-autherm	NA	3601	47
e-mcv	fl	625377	47
s-pistaae	NA	23291	47
p-hbvnh	NA	6502	47
etecnho	NA	630392	47
oma-hcg-o2	NA	464	47
u-tutk/ottotapa	NA	0073	47
amp.myrkky	NA	991	47
b-tnt-pt	ng/l	23281	47
b-temp	NA	605896	47
pt-keli-la	NA	10285	47
s-histab	NA	619484	47
u-seul-o,ket	NA	619719_5	47
monos	NA	11581	47
vibrnho	NA	630391	47
pika-na	mmol/l	623964	47
b-hba1c	mmol/mol	3897006	47
trpaab	NA	0067	47
s-hbsag	NA	0065	47
p-insu	mu/l	6423	47
s-chlamydiapneumoniae,iga-vasta-aineet	NA	4497	47
e-dysmorf	%	20992	47
oma-u-tutk,u-nitr	NA	259_U-NITR	47
p-asat	u/l	9366	47
pt-rinomanometria,supistavallalääkkeellä	NA	20826	47
virvi	NA	2975	47
b-hb	g/l	625375	47
p-triglyseridit	mmol/l	4568	47
s-sm-ab	NA	3324	47
laushetr	NA	644271	47
b-erytrosyytit,tilavuusosuus	%	VI1358	47
e-akantos	%	20993	47
s-klotsa	NA	1003964	47
u-seul-o,nitr	NA	619719_2	47
u-epit	e6/l	14058	47
s-mykoplasma,igmvasta-aineet	NA	4151	47
p-gluk2h	NA	3636212	47
p-alb	NA	609275	47
e-mchc	g/l	625379	47
s-9-hrisp	NA	605909	47
testo/shbg	NA	615844	47
bm-lydikll	NA	3008357	47
s-repa	NA	10208	47
hemoglobiini,tk:ntekemä	NA	255	47
bm-blamark	NA	1000353	47
p-bil-kj	NA	605326	47
p-rf	NA	632352	47
s-dezagab	NA	21554	47
oma-inr	NA	469	47
u-seul-o,prot	NA	619719_3	47
sy-neut	%	0232	47
vb-hco3	mmol/l	0082	47
pt-nottomu	NA	9805	47
s-vehnäe	NA	3836	47
p-fvii	NA	3002506	47
s-stpn15b	NA	21229	47
b-hb-pika	NA	100013	47
u-albkre	mg/mmol	604592	47
fp-trfesat	%	617711	47
s-enal	NA	10414	47
fs-c-pept	NA	6002503	47
fp-kol-ldl	NA	603108	47
s-rarah9e	NA	7319	47
s-hcvabg	NA	103815	47
b-cd19	NA	11053	47
pt-audio/ilmajohto	NA	2279505	47
p-gluk-1h	NA	8000	47
triglyseriditplasmasta,paastotila	NA	4568	47
sh/eiecnho	NA	630397	47
b-eryt	e12/l	625374	47
-kudosnäytteenhistologinentutkimus,makropreparaatti	NA	11205	47
f-baktnho	NA	630399	47
b-hba1c-om	NA	2632285	47
s-hi-virus,antigeenijavasta-aineet,yhdistelmä	NA	4814	47
p-at3.	NA	8732	47
b-perusverenkuva,leukos.kon.eritt.,trombos.jaretikulos.	NA	8178	47
ab-o2sat2	%	23073	47
s-klotsa	umol/l	0484	47
u-seul-o,leuk	NA	619719_1	47
s-campab	NA	610829	47
pt-puutlä	NA	21350	47
b-lymfosyytit,abs	e9/l	03223	47
u-seul-o,gluk	NA	619719_4	47
b-trom	e9/l	625380	47
pt-gluk,0hja2h	NA	1605207	47
s-alfa2	g/l	0077	47
p-fidd-hy	NA	0917	47
oma-hba1c	NA	7370021	47
s-c-pep-a	NA	50224	47
fp-ck	u/l	2134	47
p-asat	NA	1605247	47
oma-u-tutk,u-gluk	NA	259_U-GLUK	47
yersnho	NA	630396	47
f-pporf	nmol/g	2536	47
s-prostatspesifinenantigeeni,kokonais	ug/l	10095	47
b-erytrosyytit	e12/l	VI1341	47
s-allige,vehnä(jauho)/vete(mjöl)	NA	9241	47
du-uraat	mmol	28830	47
s-ca-ion	mmol/l	5097	47
s-aspfumg	mg/l	53155	47
oma-u-tutk,u-eryt	NA	259_U-ERYT	47
120mp-glu	mmol/l	100115	47
s-li	mmol/l	102260	47
s-mitoab	NA	1102357	47
p-inr	NA	601708	47
s-alb	g/l	0075	47
s-vzvabg	eiu	9221	47
b-kim-d	NA	17842	47
-liik.pr	NA	20952	47
u-seul-o,veri	NA	619719_6	47
s-he4	NA	20853	47
fs-kol/kol-hdl-suhde	NA	0020	47
ps-streptococcus,viljely(beeta-hemolyyttisetstr	NA	2703	47
fp-trfe-sa	NA	1623568	46
p-kopept	NA	5577111	46
mb-he-tase	NA	8162	46
-vzvag	NA	3003529	46
s-mat	NA	13324	46
u-tutk-1,eryt	NA	3268_ERYT	46
s-immunoglobuliinie	u/ml	1673	46
s-stpn9v	NA	8252	46
pt-yöpolygrafia,ambulatorinen,jalkaliikerekisteröinnein	NA	6541	46
u-albkre	NA	648007	46
p-glukoosi2h	mmol/l	14682	46
pt-glomerulustensuodatusnopeudenmittau	ml/min/173m2	13470	46
t18-riski	NA	1627341	46
sk-pad-if	NA	6004047	46
b-dend-fc	NA	21383	46
pt-kons-2	NA	763	46
s-testosteroni,vapaa,laskettu	pmol/l	14322	46
bakteeri,viljely1(salmonella,shigella,yersinia	NA	3442	46
b-tem-he	NA	21653	46
u-a1mikre	NA	21967	46
s-pekpähe	NA	23295	46
s-ige2pöl	NA	602645	46
pml	NA	13319	46
p-b2gpabg	u/ml	613436	46
-trrunho	NA	11041	46
s-makapäe	NA	23292	46
s-testo-v	NA	3002736	46
s-kaurjae	u/ml	455	46
l-myelosyytit,mikroskopointi	%	10471	46
sy-ly+mono	%	11120	46
pt-frop	NA	2917205	46
pt-gfr-arv	ml/min/173m2	10036	46
11845	NA	11845	46
s-immunoglobuliinie	u/ml	VI1673	46
s-stpn2	NA	21224	46
li-cxcl13	ng/l	13361	46
-cilfunk	NA	22072	46
p-psa	NA	616653	46
s-cob5abg	NA	4297	46
pd-muutsol	NA	13402	46
s-stpn7f	NA	8530	46
gp210	NA	13320	46
cb-be	NA	0206	46
-lepnnho	NA	7037135	46
s-kelisu	NA	1631924	46
s-rjugr1e	u/ml	13507	46
b-hemoglobiini	g/l	VI1552	46
s-stpn18c	NA	8254	46
e-coomigg	NA	7931	46
s-digoks	ug/l	101256	46
sy-baktvi	NA	3726	46
s-hiv-ab	NA	3473	46
s-pappa	NA	627352	46
la-t-cd8	e9/l	13435	46
p-kardabg	gpl	50315	46
pt-ekg-oma	NA	9099	46
glukoosi(päiv.hoitaja)	mmol/l	akiea0005	46
cb-hco3	mmol/l	85	46
b-rethe	pg	632305	46
ps-strvi	NA	0703	46
s-d-25	NA	2739190	46
-baktvr	NA	1650151	46
sp100	NA	13318	46
b-kdiffi,lymf	%	627978_2	46
bl-igg/alb	NA	9174	46
s-testoms	NA	8722	46
s-belacte	u/ml	14009	46
s-b12-vitamiini,transkobalamiiniii:eensitoutunut,seerumista	NA	1142	46
s-kissae	u/ml	3836	46
p-gluk	mmol/l	0877	46
ohra,ruoka	NA	981	46
fp-fosfaatti,epäorgaaninen	mmol/l	1431	46
-tnt-o	NA	94464	46
p-vrabtu1	NA	2955	46
s-stpn5	NA	8529	46
vb-o2sat2	%	23075	46
p-proaika	s	8660	46
fp-vip	NA	2932	46
p-hcg-tot	iu/l	3959275	46
kssoluvi	NA	21961	46
s-insu-ab	%	1702	46
pt-glukr2h	NA	607421	46
b-kdiffi,mono	%	627978_3	46
gluk-r,rasituksenvalmistelut	NA	12735	46
b-tnt-hy	ng/l	0891	46
b-tromfu	NA	3125	46
p-gt	u/l	602395	46
b-fosfatidyylietanoli	NA	11663	46
s-cu	umol/l	3002170	46
b-bakteeri,veriviljely	NA	1153	46
ts-fnab	NA	1103990	46
lymfosyytit,erittely	NA	2275	46
lkm-1	NA	13321	46
pt-rasuäse	NA	2897025	46
s-kudostransglutaminaasi,iggva(keliakia)	NA	1886	46
s-hevonene	NA	600022	46
u-liuska	NA	0118	46
s-stpn33f	NA	21232	46
s-ascabg	u/ml	8737	46
bl-igg	mg/l	8142	46
s-testosteronivapaalaskettu	pmol/l	16451	46
fs-vlcfa	NA	4162	46
s-stpn6b	NA	8251	46
pt-gfre-md	ml/min/173m2	60000	46
p-amyl	NA	609967	46
